commits_count,username_hash,lab
14,210108f739719558173c94322d89757b,project2
1,5bb6000923a0a6c25177e732afa39d9c,project2
16,9bfe86c032fec89082fb7c6c266a3820,project2
13,cbda472bcf793112bfe10374854036a3,project2
63,644f8a552e7073267c670441267b5c6c,project2
15,1040b420f190576e9798b70f7af55168,project2
15,152e32a5e831ae5ada5db66d3358ba2c,project2
15,7dc85837aa2f1beab8efd3910f50f977,project2
3,404d0933976768c2efba913a3f97b964,project2
22,959ac672450b994eccdb733e9dcbf84a,project2
3,d201efa9c4ba772471f906cf03d6357d,lab5
4,5d1fa1e1e65c8af2f85ec610679e907d,lab5
5,52818c92ea755728efb1ad88e0a34eb1,project2
1,d169a3523365e3ce8c2697ec4a4824b0,lab5
3,b79d4b625d2e5bdd78ad57cf255c16af,lab5
5,a87288247846018b601b15b544438d20,lab5
1,ab822aa43b4f3233eac71b072a7c1a21,lab5
4,bbf1dcb119b50489abcca68d39ae65e5,lab5
4,88dbaa988ae1c5f30d8002a8c6a3f6fb,lab5
19,4fe061fdd707594a5a0b99d215d757eb,project2
4,096095de56d8e7b68c88b84bc8ba16b2,lab5
12,f8173100d0d3223411809387e94940dc,project2
2,731012f1a69b2bb588940cbb6c0a04d9,lab5
5,7f4df6a9e19a7687f718e557ec4a9a6b,project2
2,14792f6c5c7b9d673dd6b5d9636321f0,lab5
4,63717453c62cabdc95b1357180229d83,lab5
2,abef6db0cdffdf4cf5583cc9173589b8,lab5
1,38f82453e946a5f596cab64597657a9a,lab5
2,09d668b4e1bc5a0892b664613e175e2b,lab5
4,66c09193d4c8c2ae29f04f1d0455961b,lab5
4,a3e7eddb32f7471ea7d21f19b14a144d,lab5
1,39ace31e9c8fb5533fd83a34ddf58c7e,lab5
6,085d57fe815c1eb67f36507f83441316,lab5
3,ae8e7d9c79a141b9266c01d768e1f980,lab5
2,130d28d5ea9b9301d046b2a2134fa78f,lab5
5,68a3333e98bc3d8a634fc30a7fa57a29,lab5
6,dcb2433644d749fd8d8a162b9477c950,lab5
1,206ba58fbac531e8e9af60a2cdf687d7,lab5
2,ca25c693fdfcfe7eaf2d8a3ccda3713e,lab5
2,d59c9118f7e2082998ec81c875d97dcb,lab5
4,3fd12b54e970c10da14d566f545c32d0,lab3
